description,shipping,editors_choice,time_published,category,time_modified,url,uuid,hotness,title,picture_url,price
"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169359"">Hanes</a> cuts <strong>up to 75% off</strong> its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090273,2169359"">clearance items</a>. Plus, all orders receive <b>free shipping</b>. (Shipping normally adds $7.99 for all orders under $60.) Sizes and stock are limited for some items.",free shipping,,2018-01-01T05:45:22-05:00,CLOTHING & ACCESSORIES,,https://www.dealnews.com/Hanes-Clearance-Sale-Up-to-75-off-free-shipping/2169359.html,2169359,0,Hanes Clearance Sale,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/s82wyka3nr49pnet4ort",Up to 75% off
"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169362"">Gaiam Muse: The Brain Sensing Headband</a> in Black or White for <strong>$189.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090276,2169362"">Gaiam</a> direct charges the same.) That's tied with last week's mention as $60 off list and the lowest price we could find. It works with the Muse app (available on <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090279,2169362"">iOS</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090282,2169362"">Android</a> devices) to calm your mind and deliver feedback.",free shipping,,2018-01-01T05:42:25-05:00,EXERCISE EQUIPMENT,,https://www.dealnews.com/Gaiam-Muse-The-Brain-Sensing-Headband-for-190-free-shipping/2169362.html,2169362,0,Gaiam Muse: The Brain Sensing Headband,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dqzoum3czcnqlqabxty2",$190
"Macy's discounts a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090270,2169356"">Bioworld Men's Onesies and Pajama Sets</a>, with prices starting form <b>$11.96</b>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090261,2169356"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090264,2169356"">Bioworld Men's Glow-In-The-Dark Skeleton Onesie Costume</a> for <b>$15.93</b> ($24 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169356"">Bioworld Men's Shark Onesie Costume</a> for <strong>$15.99</strong> (pictured, $24 off)
 </li>
</ul>",free s&h w/beauty item,,2018-01-01T05:36:04-05:00,SLEEP & LOUNGE,,https://www.dealnews.com/Bioworld-Mens-Onesies-and-Pajama-Sets-from-12-free-s-h-w-beauty-item/2169356.html,2169356,0,Bioworld Men's Onesies and Pajama Sets,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zd14u9a1jpnvdy27qoih",from $12
"As one of its daily deals, Woot takes <strong>54% to 73% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090267,2169350"">Saucony men's and women's running shoes</a>. Shipping adds <strong>$5</strong>. Deal ends today. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169350"">Saucony Men's Hurricane ISO 2 Running Shoes</a> for <strong>$42.99</strong> (pictured, low by $17)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090255,2169350"">Saucony Men's Breakthru 3 Running Shoes</a> for <strong>$44.99</strong> (low by $20)
 </li>
</ul>",$5 shipping,,2018-01-01T05:34:58-05:00,SHOES,,https://www.dealnews.com/Saucony-Running-Shoes-at-Woot-54-to-73-off-from-40-5-s-h/2169350.html,2169350,0,Saucony Running Shoes at Woot,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mlrjyghkkzlznursscsl","54% to 73% off, from $40"
"As one of its daily deals, Meh offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169353"">ALC Connect Plus Complete Home/Business Security</a> for <strong>$115</strong> plus <strong>$5</strong> for shipping. That's the lowest price we could find by $120. It includes a 1080p WiFi pan/tilt camera, control hub, two door/window sensors, two remote controls, two power switches, and a motion detector. Deal ends today.",$5 shipping,True,2018-01-01T05:26:23-05:00,HOME SECURITY,,https://www.dealnews.com/ALC-Connect-Plus-Home-Business-Security-for-115-5-s-h/2169353.html,2169353,4,ALC Connect Plus Home/Business Security,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/oejyenqlkxbc0cetuayl",$115
"As one of its daily deals, A4C offers the used <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169347"">Insignia Flex 11.6"" 32GB WiFi Tablet with Keyboard</a> for <strong>$64.95</strong> with <strong>free shipping</strong>. That's $129 under the best we could find for a new one. It features an Intel Atom x5 Z8300 quad-core processor, 11.6"" 1280x800 touchscreen, 32GB storage, front- and rear-facing cameras, 802.11n wireless, Bluetooth 4.0, micro USB, and Windows 10. Deal ends today.<br>
<br>
Note: It may contain heavy signs of use including scratches and dents and includes the A4C 30-day ""just because"" return policy.",free shipping,True,2018-01-01T05:05:22-05:00,TABLETS,,https://www.dealnews.com/Used-Insignia-12-32-GB-Tablet-w-Keyboard-for-65-free-shipping/2169347.html,2169347,4,"Used Insignia 12"" 32GB Tablet w/ Keyboard","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/osqg7jutb5maz4ep5rxd",$65
"As one of its daily deals, B&H Photo Video offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169341"">Vidpro Mini LED Video Light Kit</a> for <strong>$15.95</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $9. It features IP65 water resistance, daylight balanced output, 4-step dimming, integrated lithium-ion battery, two 1/4""-20 threaded mounting holes, and a cold shoe mounting foot. Deal ends today.",free shipping,True,2018-01-01T05:04:41-05:00,CAMERA ACCESSORIES,,https://www.dealnews.com/Vidpro-Mini-LED-Video-Light-Kit-for-16-free-shipping/2169341.html,2169341,4,Vidpro Mini LED Video Light Kit,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ssl1s3dsqluhpblrxgb5",$16
"As one of its daily deals, B&H Photo Video offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169344"">Agloves Unisex Polar Sport Gloves</a> for <strong>$12.99</strong> with <strong>free shipping</strong>. That's $2 under last month's mention and the lowest price we've seen. (It's the best today by $7.) These fleece-lined gloves feature touchscreen functionality for all 10 fingers and are available in sizes S to XL. Deal ends today.",free shipping,True,2018-01-01T05:04:22-05:00,ACCESSORIES,,https://www.dealnews.com/Agloves-Unisex-Polar-Sport-Gloves-for-13-free-shipping/2169344.html,2169344,4,Agloves Unisex Polar Sport Gloves,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qed6m68frhbhy5cl3phy",$13
"Amazon offers Prime members <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169338"">John Wick 4K on Blu-ray / DVD / Digital HD</a> for <b>$10</b> with <b>free shipping</b>. That's $4 under last March's mention and the lowest price we could find by $4.",free shipping w/ Prime,,2018-01-01T03:20:28-05:00,BLU-RAY DISC MOVIES,,https://www.dealnews.com/John-Wick-4-K-on-Blu-ray-DVD-Digital-HD-for-10-free-shipping-w-Prime/2169338.html,2169338,3,John Wick 4K on Blu-ray / DVD / Digital HD,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uur0is5wjivbgmpa7uz9",$10
"At Chase, open a new <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168591"">Chase Premier Plus Checking℠</a> account and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089652,2168591"">set up direct deposit</a> to bag a <strong>$300 bonus</strong>. You'll have access to 16,000 Chase ATMs and 5,200 branches. Plus, Chase QuickDeposit℠ lets you deposit checks just by taking a picture. Finally, the Annual Percentage Yield (APY) effective as of 9/18/2017, is 0.01% for all balances in all states. (Interest rates are variable and subject to change.) Deal ends January 18.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with many of the credit card issuers and banks mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards or accounts. This compensation has no impact or influence on where or how the cards or accounts appear on dealnews.com. DealNews does not include all card companies, banks  or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",,,2018-01-01T00:01:00-05:00,FINANCIAL SERVICES,,"https://www.dealnews.com/lw/click.html?20,2,2168591",2168591,,Chase Premier Plus Checking℠,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/torxlco2z0vsnzqslvlf",$300 bonus w/ new account
